x,y
0,0.463
0.013796296,0.4634051
0.0281481482,0.4632963
0.0425,0.4631875
0.0562962964,0.4635926
0.0689814761,0.465025455
0.08,0.468
0.08903935,0.4725
0.09648148,0.478111118
0.1028125,0.48475
0.108518519,0.492333323
0.114085644,0.5007778
0.12,0.51
0.125937492,0.520881951
0.131444439,0.5336667
0.1368125,0.5473125
0.142333329,0.5607778
0.1482986,0.5730208
0.155,0.583
0.1626551,0.5907963
0.171074077,0.5972593
0.1799375,0.6025
0.188925922,0.6066296
0.1977199,0.6097593
0.206,0.612
0.213784724,0.6135301
0.22133334,0.6142963
0.2286875,0.6140625
0.235888883,0.6125926
0.242979169,0.6096505
0.25,0.605
0.2570139,0.5978241
0.264,0.5881482
0.270875,0.577
0.277555555,0.565407455
0.283958316,0.5543982
0.29,0.545
0.295173615,0.5376088
0.299444437,0.5314815
0.3034375,0.5259375
0.307777762,0.5202963
0.313090265,0.5138773
0.32,0.506
0.329386562,0.4963611
0.340925932,0.485444427
0.353437483,0.47375
0.365740746,0.461777776
0.376655072,0.4500278
0.385,0.439
0.39065972,0.4286227
0.394555539,0.4184815
0.3970625,0.4085625
0.398555547,0.398851842
0.399409741,0.389335632
0.4,0.38
0.400182873,0.371148139
0.399629623,0.362851858
0.3984375,0.35475
0.3967037,0.346481472
0.394525468,0.3376852
0.392,0.328
0.388590276,0.3170463
0.3841111,0.305037051
0.3791875,0.292500019
0.374444455,0.279962957
0.370506942,0.2679537
0.368,0.257
0.366738439,0.24725695
0.3661852,0.23833333
0.3664375,0.2299375
0.3675926,0.221777782
0.369747669,0.2135625
0.373,0.205
0.3775185,0.1957338
0.383259267,0.185925916
0.39,0.1760625
0.397518516,0.166629627
0.4055926,0.15811342
0.414,0.151
0.423067123,0.145034716
0.433037043,0.139777765
0.4435625,0.135437489
0.4542963,0.13222222
0.4648912,0.130340278
0.475,0.13
0.484680563,0.131363422
0.494222224,0.1342963
0.503625035,0.1385625
0.5128889,0.143925935
0.5220139,0.150150463
0.531,0.157
0.5401019,0.16461806
0.5493704,0.173222229
0.5585,0.1826875
0.5671852,0.1928889
0.5751204,0.203701392
0.582,0.215
0.587782443,0.22708334
0.5927037,0.240111113
0.596875,0.25375
0.6004074,0.267666668
0.603412032,0.281527758
0.606,0.295
0.6076551,0.308243036
0.6081852,0.321555555
0.6081875,0.3348125
0.608259261,0.3478889
0.6089977,0.360659719
0.611,0.373
0.6140625,0.385162026
0.617666662,0.39729628
0.6219375,0.409125
0.627,0.42037037
0.632979155,0.430754632
0.64,0.44
0.6486435,0.447585642
0.658925951,0.453629643
0.670125,0.4588125
0.681518555,0.463814825
0.6923843,0.469317138
0.702,0.476
0.7102778,0.4838426
0.7177778,0.4922963
0.724750042,0.501249969
0.7314445,0.5105926
0.738111138,0.520212948
0.745,0.53
0.7518264,0.5406319
0.7583333,0.5523333
0.7648125,0.564312458
0.771555543,0.575777769
0.7788542,0.5859375
0.787,0.594
0.796314836,0.6001088
0.8066296,0.604925931
0.8175,0.6084375
0.8284815,0.6106296
0.8391296,0.6114884
0.849,0.611
0.858131945,0.609074056
0.8668889,0.6057037
0.8753125,0.601
0.8834444,0.595074058
0.891326368,0.588037
0.899,0.58
0.906504631,0.5701574
0.9138148,0.558259249
0.920875,0.54525
0.92762965,0.5320741
0.934023142,0.5196759
0.94,0.509
0.9453727,0.499958336
0.950148165,0.491777778
0.9545625,0.484375
0.9588519,0.477666646
0.9632523,0.471569449
0.968,0.466
0.973101854,0.461226851
0.978370368,0.457370371
0.98375,0.454125
0.989185154,0.451185167
0.9946204,0.448245376
1,0.445
